No.,Fecha,Hora local,Epicentro Latitud,Epicentro Longitud,Autor Epicentro,Magnitud,Magnitud Tipo,Autor Magnitud,Profundidad,Autor Profundidad,Numero puntos,Intensidad maxima,Escala,Autor Intensidad,Area epicentral
1,1644/01/16,05:00,7.37,-72.64,Servicio Geológico Colombiano,6.5,MW,Servicio Geológico Colombiano,15,Servicio Geológico Colombiano,5,9,EMS-98,Servicio Geológico Colombiano,"Pamplona, Norte de Santander"
2,1644/03/16,12:00,4.46,-74.04,"Dimat&eacute; C., Rivera L., Cisternas A. (2005)",5.5,MW,Servicio Geológico Colombiano,15,Servicio Geológico Colombiano,2,7,EMS-98,Servicio Geológico Colombiano,"Chipaque, Cundinamarca"
3,1646/04/03,02:00,5.52,-74.13,Servicio Geológico Colombiano,6,MW,Servicio Geológico Colombiano,15,Servicio Geológico Colombiano,2,8,EMS-98,Servicio Geológico Colombiano,"Muzo, Boyacá"
4,1736/02/02,09:00,2.5,-76.5,Servicio Geológico Colombiano,6,MW,Servicio Geológico Colombiano,15,Servicio Geológico Colombiano,1,8,EMS-98,Servicio Geológico Colombiano,"Popayán, Cauca"
5,1743/10/18,10:45,4.44,-73.83,Servicio Geológico Colombiano,6.2,MW,Servicio Geológico Colombiano,15,Servicio Geológico Colombiano,13,8,EMS-98,Servicio Geológico Colombiano,"Fómeque, Cundinamarca"
6,1766/07/09,16:00,3.82,-76.52,Servicio Geológico Colombiano,6.5,MW,Servicio Geológico Colombiano,15,Servicio Geológico Colombiano,5,8,EMS-98,Servicio Geológico Colombiano,"Buga, Valle del Cauca"
7,1785/07/12,07:45,3.42,-74.23,"Sarabia, A., Cifuentes, H., Robertson, K.",7.1,MW,"Servicio Geol&oacute;gico Colombiano (G&oacute;mez et al., 2020)",10,"Servicio Geol&oacute;gico Colombiano (G&oacute;mez et al., 2020)",17,7,EMS-98,Servicio Geológico Colombiano,"Piedemonte llanero, Colombia"
8,1796/02/15,12:00,7.37,-72.64,Servicio Geológico Colombiano,5.5,MW,Servicio Geológico Colombiano,15,Servicio Geológico Colombiano,1,7,EMS-98,Servicio Geológico Colombiano,"Pamplona, Norte de Santander"
9,1805/06/16,03:15,5.37,-74.87,Servicio Geológico Colombiano,6.1,MW,Servicio Geológico Colombiano,15,Servicio Geológico Colombiano,7,9,EMS-98,Servicio Geológico Colombiano,"Honda, Tolima"
10,1807/02/17,12:02,6.5,-71.7,Servicio Geológico Colombiano,5.5,MW,Servicio Geológico Colombiano,15,Servicio Geológico Colombiano,1,7,EMS-98,Servicio Geológico Colombiano,"Tame, Arauca"
11,1826/06/17,22:30,5.01,-73.59,Servicio Geológico Colombiano,6.5,MW,Servicio Geológico Colombiano,15,Servicio Geológico Colombiano,11,8,EMS-98,Servicio Geológico Colombiano,"Úmbita, Boyacá"
12,1827/11/16,18:00,1.8,-75.52,"Servicio Geol&oacute;gico Colombiano (G&oacute;mez et al., 2020)",7.1,MW,"Servicio Geol&oacute;gico Colombiano (G&oacute;mez et al., 2020)",10,"Servicio Geol&oacute;gico Colombiano (G&oacute;mez et al., 2020)",49,10,EMS-98,Servicio Geológico Colombiano,"Altamira, Huila"
13,1834/01/20,07:00,1.1,-76.93,Servicio Geológico Colombiano,6.7,MW,Servicio Geológico Colombiano,15,Servicio Geológico Colombiano,29,9,EMS-98,Servicio Geológico Colombiano,"Santiago, Putumayo"
14,1834/05/22,03:00,11.49,-74.07,"Servicio Geol&oacute;gico Colombiano (G&oacute;mez et al., 2020)",6.4,MW,"Servicio Geol&oacute;gico Colombiano (G&oacute;mez et al., 2020)",10,"Servicio Geol&oacute;gico Colombiano (G&oacute;mez et al., 2020)",8,8,EMS-98,Servicio Geológico Colombiano,"Santa Marta, Magdalena"
15,1869/03/06,06:30,9,-74,CERESIS,6,MS,CERESIS,60,Servicio Geológico Colombiano,59,7,EMS-98,Servicio Geológico Colombiano,"El Banco, Magdalena"
